,일시,평균강수량(mm),최대강수량(mm),경기 취소 여부
0,2013-04-02,0.250 ,1.5,0
0,2013-04-06,0.625 ,2,1
1,2013-04-14,0.146 ,3,0
1,2013-04-20,0.375 ,3,1
2,2013-04-23,0.250 ,1.5,1
2,2013-04-24,0.021 ,0.5,0
3,2013-04-25,0.167 ,2,0
4,2013-05-02,0.042 ,0.5,0
5,2013-05-03,0.021 ,0.5,0
3,2013-05-09,0.042 ,1,1
6,2013-05-10,0.896 ,3.5,0
7,2013-05-12,0.021 ,0.5,0
8,2013-05-18,0.333 ,3.5,0
9,2013-05-19,1.146 ,5,0
10,2013-05-28,0.438 ,2.5,0
11,2013-05-29,0.063 ,1,0
12,2013-06-11,0.063 ,0.5,0
13,2013-06-12,0.271 ,1.5,0
4,2013-06-18,1.250 ,11,1
14,2013-06-21,0.167 ,4,0
15,2013-06-28,0.042 ,1,0
5,2013-07-02,1.500 ,12,1
6,2013-07-04,1.375 ,26,1
16,2013-07-05,0.104 ,1,0
17,2013-07-07,0.042 ,1,0
18,2013-07-09,0.188 ,2,0
19,2013-07-10,0.208 ,2,0
20,2013-07-11,0.979 ,12.5,0
7,2013-07-12,1.458 ,16,1
21,2013-07-13,6.188 ,26.5,0
8,2013-07-14,0.875 ,6.5,1
22,2013-07-17,1.167 ,8,0
23,2013-07-23,2.208 ,25,0
24,2013-07-24,0.333 ,3,0
25,2013-07-28,0.417 ,7,0
26,2013-08-03,0.063 ,1,0
27,2013-08-06,1.188 ,23.5,0
28,2013-08-09,0.021 ,0.5,0
29,2013-08-10,1.500 ,16.5,0
30,2013-08-16,0.021 ,0.5,0
9,2013-08-31,1.125 ,24.5,1
10,2013-09-10,0.396 ,2.5,1
11,2013-09-11,2.083 ,15.5,1
31,2013-09-12,0.021 ,0.5,0
32,2013-09-13,4.063 ,26,0
33,2013-09-14,0.688 ,7,0
34,2013-09-28,0.083 ,1,0
35,2013-09-29,0.604 ,2,0
36,2014-03-30,0.083 ,1.5,0
37,2014-04-03,0.042 ,0.5,0
12,2014-04-17,0.167 ,2,1
38,2014-04-27,0.250 ,1.5,0
39,2014-04-29,0.167 ,2,0
40,2014-05-07,0.021 ,0.5,0
41,2014-05-08,0.167 ,1,0
42,2014-05-11,0.729 ,6.5,0
43,2014-05-25,0.292 ,4,0
44,2014-06-10,0.167 ,3,0
13,2014-06-11,0.250 ,3.5,1
45,2014-06-12,0.042 ,0.5,0
46,2014-06-20,0.063 ,1.5,0
47,2014-06-21,4.146 ,39,0
48,2014-06-22,3.104 ,53,0
49,2014-06-28,0.042 ,1,0
50,2014-07-02,0.375 ,8,0
51,2014-07-03,0.042 ,0.5,0
52,2014-07-08,0.021 ,0.5,0
53,2014-07-09,0.021 ,0.5,0
14,2014-07-22,0.188 ,3,1
15,2014-07-23,1.479 ,9,1
54,2014-07-24,2.083 ,12,0
16,2014-07-25,1.292 ,12,1
55,2014-07-26,0.083 ,1,0
17,2014-08-03,0.458 ,2,1
56,2014-08-04,0.208 ,1,0
18,2014-08-06,0.583 ,6.5,1
57,2014-08-07,0.021 ,0.5,0
19,2014-08-10,1.271 ,19.5,1
20,2014-08-14,0.104 ,1.5,1
58,2014-08-17,0.167 ,2.5,0
21,2014-08-21,4.125 ,38.5,1
59,2014-08-22,0.188 ,3,0
22,2014-08-26,0.979 ,21,1
60,2014-08-29,0.313 ,7,0
23,2014-09-02,0.104 ,1,1
24,2014-09-03,2.458 ,12.5,1
61,2014-09-12,0.021 ,0.5,0
62,2014-10-16,0.083 ,1.5,0
63,2015-03-31,0.104 ,1.5,0
64,2015-04-01,0.063 ,1,0
25,2015-04-02,1.354 ,24,1
65,2015-04-03,0.500 ,6.5,0
66,2015-04-05,0.042 ,0.5,0
26,2015-04-14,0.417 ,2.5,1
67,2015-04-15,0.083 ,1,0
68,2015-04-16,0.188 ,2.5,0
27,2015-04-19,0.438 ,3.5,1
28,2015-04-29,0.167 ,1,1
69,2015-05-02,0.021 ,0.5,0
70,2015-05-03,0.167 ,1.5,0
29,2015-05-12,0.458 ,3.5,1
30,2015-05-19,0.021 ,0.5,1
71,2015-06-12,0.042 ,1,0
72,2015-06-13,0.021 ,0.5,0
73,2015-06-14,0.646 ,11.5,0
74,2015-06-17,0.250 ,6,0
75,2015-06-18,0.646 ,14,0
31,2015-06-20,3.063 ,38.5,1
76,2015-06-25,0.063 ,1,0
77,2015-06-26,0.792 ,5.5,0
32,2015-06-30,0.083 ,1,1
78,2015-07-08,0.021 ,0.5,0
33,2015-07-12,0.917 ,4,1
79,2015-07-21,0.271 ,6.5,0
34,2015-07-23,0.652 ,8.5,1
35,2015-07-24,0.538 ,1.5,1
36,2015-07-25,1.646 ,23.5,1
80,2015-07-26,0.771 ,11,0
81,2015-07-29,0.729 ,14.5,0
82,2015-08-02,1.083 ,13,0
83,2015-08-07,0.708 ,14.5,0
84,2015-08-08,0.667 ,14.5,0
85,2015-08-13,0.625 ,9,0
86,2015-08-14,0.021 ,0.5,0
87,2015-08-15,0.021 ,0.5,0
37,2015-08-16,1.271 ,12,1
88,2015-08-20,0.292 ,6.5,0
89,2015-08-21,0.021 ,0.5,0
38,2015-08-25,0.250 ,1,1
90,2015-08-28,0.604 ,12.5,0
91,2015-09-02,0.188 ,3,0
92,2015-09-05,0.271 ,3,0
39,2015-09-11,0.125 ,1,1
93,2015-10-01,1.229 ,12.5,0
40,2016-04-03,0.125 ,1.5,1
94,2016-04-06,0.063 ,1.5,0
95,2016-04-07,0.354 ,2,0
