일시,강수량(mm)
2010/03/31 0:00,0
2010/03/31 1:00,0
2010/03/31 2:00,0
2010/03/31 3:00,0
2010/03/31 4:00,0
2010/03/31 5:00,0
2010/03/31 6:00,0
2010/03/31 7:00,1
2010/03/31 8:00,1
2010/03/31 9:00,1.5
2010/03/31 10:00,2
2010/03/31 11:00,2
2010/03/31 12:00,2
2010/03/31 13:00,1.5
2010/03/31 14:00,0
2010/03/31 15:00,0
2010/03/31 16:00,0
2010/03/31 17:00,0.5
2010/03/31 18:00,0
2010/03/31 19:00,0
2010/03/31 20:00,0
2010/03/31 21:00,0
2010/03/31 22:00,0
2010/03/31 23:00,0
2010/04/01 0:00,0
2010/04/01 1:00,0
2010/04/01 2:00,0
2010/04/01 3:00,0
2010/04/01 4:00,0
2010/04/01 5:00,0
2010/04/01 6:00,0
2010/04/01 7:00,0
2010/04/01 8:00,0
2010/04/01 9:00,0
2010/04/01 10:00,0
2010/04/01 11:00,0
2010/04/01 12:00,0
2010/04/01 13:00,0
2010/04/01 14:00,0
2010/04/01 15:00,0
2010/04/01 16:00,1
2010/04/01 17:00,0
2010/04/01 18:00,0
2010/04/01 19:00,0
2010/04/01 20:00,0
2010/04/01 21:00,0
2010/04/01 22:00,0
2010/04/01 23:00,0
2010/04/21 0:00,0
2010/04/21 1:00,0
2010/04/21 2:00,0
2010/04/21 3:00,0
2010/04/21 4:00,0
2010/04/21 5:00,0
2010/04/21 6:00,0
2010/04/21 7:00,0
2010/04/21 8:00,0
2010/04/21 9:00,0
2010/04/21 10:00,0
2010/04/21 11:00,0
2010/04/21 12:00,0
2010/04/21 13:00,0
2010/04/21 14:00,0
2010/04/21 15:00,0
2010/04/21 16:00,0
2010/04/21 17:00,0
2010/04/21 18:00,0
2010/04/21 19:00,0
2010/04/21 20:00,1.5
2010/04/21 21:00,1
2010/04/21 22:00,0
2010/04/21 23:00,0
2010/04/27 0:00,0
2010/04/27 1:00,0
2010/04/27 2:00,0
2010/04/27 3:00,0
2010/04/27 4:00,0
2010/04/27 5:00,0
2010/04/27 6:00,0
2010/04/27 7:00,0
2010/04/27 8:00,1.5
2010/04/27 9:00,0
2010/04/27 10:00,0
2010/04/27 11:00,0
2010/04/27 12:00,0
2010/04/27 13:00,0
2010/04/27 14:00,0.5
2010/04/27 15:00,0
2010/04/27 16:00,1
2010/04/27 17:00,0.5
2010/04/27 18:00,1
2010/04/27 19:00,0
2010/04/27 20:00,0
2010/04/27 21:00,0
2010/04/27 22:00,0
2010/04/27 23:00,0
2010/04/28 0:00,0
2010/04/28 1:00,0
2010/04/28 2:00,0
2010/04/28 3:00,0
2010/04/28 4:00,0
2010/04/28 5:00,0
2010/04/28 6:00,0
2010/04/28 7:00,0
2010/04/28 8:00,0
2010/04/28 9:00,0
2010/04/28 10:00,0
2010/04/28 11:00,0
2010/04/28 12:00,0.5
2010/04/28 13:00,3
2010/04/28 14:00,1.5
2010/04/28 15:00,0.5
2010/04/28 16:00,0.5
2010/04/28 17:00,1
2010/04/28 18:00,0
2010/04/28 19:00,1.5
2010/04/28 20:00,0
2010/04/28 21:00,0.5
2010/04/28 22:00,0.5
2010/04/28 23:00,0
2010/05/18 0:00,1
2010/05/18 1:00,5.5
2010/05/18 2:00,4
2010/05/18 3:00,5.5
2010/05/18 4:00,7.5
2010/05/18 5:00,4.5
2010/05/18 6:00,4.5
2010/05/18 7:00,2
2010/05/18 8:00,1
2010/05/18 9:00,1.5
2010/05/18 10:00,1
2010/05/18 11:00,5
2010/05/18 12:00,0
2010/05/18 13:00,2
2010/05/18 14:00,1
2010/05/18 15:00,0.5
2010/05/18 16:00,0
2010/05/18 17:00,0.5
2010/05/18 18:00,0
2010/05/18 19:00,0
2010/05/18 20:00,1.5
2010/05/18 21:00,1.5
2010/05/18 22:00,0
2010/05/18 23:00,0
2010/06/12 0:00,0
2010/06/12 1:00,0
2010/06/12 2:00,2.5
2010/06/12 3:00,3
2010/06/12 4:00,2.5
2010/06/12 5:00,7.5
2010/06/12 6:00,8.5
2010/06/12 7:00,5.5
2010/06/12 8:00,0
2010/06/12 9:00,0
2010/06/12 10:00,3.5
2010/06/12 11:00,9.5
2010/06/12 12:00,2
2010/06/12 13:00,0.5
2010/06/12 14:00,4
2010/06/12 15:00,5.5
2010/06/12 16:00,1.5
2010/06/12 17:00,4
2010/06/12 18:00,1
2010/06/12 19:00,3
2010/06/12 20:00,1
2010/06/12 21:00,0
2010/06/12 22:00,0
2010/06/12 23:00,0
2010/07/02 0:00,0
2010/07/02 1:00,0
2010/07/02 2:00,0
2010/07/02 3:00,0
2010/07/02 4:00,0
2010/07/02 5:00,0
2010/07/02 6:00,0
2010/07/02 7:00,0
2010/07/02 8:00,0
2010/07/02 9:00,0.5
2010/07/02 10:00,21
2010/07/02 11:00,16.5
2010/07/02 12:00,4.5
2010/07/02 13:00,0.5
2010/07/02 14:00,0
2010/07/02 15:00,0
2010/07/02 16:00,1.5
2010/07/02 17:00,0.5
2010/07/02 18:00,0
2010/07/02 19:00,0.5
2010/07/02 20:00,4.5
2010/07/02 21:00,4.5
2010/07/02 22:00,0.5
2010/07/02 23:00,0
2010/07/07 0:00,0
2010/07/07 1:00,0
2010/07/07 2:00,0
2010/07/07 3:00,0
2010/07/07 4:00,0
2010/07/07 5:00,0
2010/07/07 6:00,0
2010/07/07 7:00,0
2010/07/07 8:00,0
2010/07/07 9:00,0
2010/07/07 10:00,0
2010/07/07 11:00,0
2010/07/07 12:00,0
2010/07/07 13:00,0
2010/07/07 14:00,0
2010/07/07 15:00,0
2010/07/07 16:00,0
2010/07/07 17:00,0
2010/07/07 18:00,0
2010/07/07 19:00,4.5
2010/07/07 20:00,4.5
2010/07/07 21:00,0
