일시,평균강수량(mm),최대강수량(mm),경기취소여부
2013-04-06,0.625,2,1
2013-04-20,0.375,3,1
2013-04-23,0.25,1.5,1
2013-05-09,0.0416666667,1,1
2013-06-18,1.25,11,1
2013-07-02,1.5,12,1
2013-07-04,1.375,26,1
2013-07-12,1.458333333,16,1
2013-07-14,0.875,6.5,1
2013-08-31,1.125,24.5,1
2013-09-10,0.395833333,2.5,1
2013-09-11,2.083333333,15.5,1
2014-04-17,0.166666667,2,1
2014-06-11,0.25,3.5,1
2014-07-22,0.1875,3,1
2014-07-23,1.479166667,9,1
2014-07-25,1.291666667,12,1
2014-08-03,0.458333333,2,1
2014-08-06,0.583333333,6.5,1
2014-08-10,1.270833333,19.5,1
2014-08-14,0.104166667,1.5,1
2014-08-21,4.125,38.5,1
2014-08-26,0.979166667,21,1
2014-09-02,0.104166667,1,1
2014-09-03,2.458333333,12.5,1
2015-04-02,1.354166667,24,1
2015-04-14,0.416666667,2.5,1
2015-04-19,0.4375,3.5,1
2015-04-29,0.166666667,1,1
2015-05-12,0.458333333,3.5,1
2015-05-19,0.0208333333,0.5,1
2015-06-20,3.0625,38.5,1
2015-06-30,0.0833333333,1,1
2015-07-12,0.916666667,4,1
2015-07-23,0.652173913,8.5,1
2015-07-24,0.538461538,1.5,1
2015-07-25,1.645833333,23.5,1
2015-08-16,1.270833333,12,1
2015-08-25,0.25,1,1
2015-09-11,0.125,1,1
2016-04-03,0.125,1.5,1
2016-04-16,0.9375,7,1
2016-05-03,1.791666667,6,1
2016-05-15,1.520833333,12,1
2016-06-15,1.083333333,8.5,1
2016-06-22,0.416666667,3.5,1
2016-07-01,3.854166667,25,1
2016-07-05,4.958333333,49,1
2016-08-25,0.125,3,1
2016-08-31,0.854166667,3,1
2017-04-05,1.125,6,1
2017-05-09,0.0833333333,1.5,1
2017-05-23,0.229166667,5.5,1
2017-07-06,0.104166667,1.5,1
2017-07-07,0.541666667,6.5,1
2017-08-15,3.145833333,19.5,1
2017-08-20,4.229166667,25,1
2018-04-05,0.583333333,3,1
2018-05-02,0.229166667,1.5,1
2018-05-12,1.354166667,4.5,1
2018-05-17,3.666666667,22.5,1
2018-05-29,0.104166667,1.5,1
2018-06-26,3.083333333,15.5,1
2018-06-28,0.479166667,6.5,1
2018-07-01,3.5625,19,1
2019-04-09,0.395833333,2,1
2019-04-25,0.4375,2,1
2019-05-19,0.6875,4.5,1
2019-07-10,0.520833333,4.5,1
2019-07-26,3.875,30,1
2019-07-28,1.270833333,16,1
2019-08-15,1.458333333,15.5,1
2019-08-29,2.479166667,33,1
2019-09-04,0.583333333,4,1
2019-09-05,2.020833333,20,1
2019-09-10,2.25,12,1
2020-05-09,1.0625,4,1
2020-05-15,0.395833333,2,1
2020-06-10,0.354166667,3.5,1
2020-06-24,1,6.5,1
2020-07-12,0.125,1,1
2020-07-13,1.708333333,4,1
2020-07-22,0.833333333,9.5,1
2020-07-23,3.5,14,1
2020-07-29,2.25,17.5,1
2020-08-02,1.979166667,21,1
2020-08-03,2.916666667,21,1
2020-08-09,3.5,25.5,1
2020-08-10,0.583333333,5,1
2020-08-22,3.166666667,45,1
2020-09-02,1.4375,17,1
2021-04-03,2.1875,7.5,1
2021-05-16,1.979166667,6.5,1
2021-06-03,0.895833333,5,1
2021-06-30,0.354166667,7,1
2021-07-03,2.354166667,13.5,1
2021-08-12,0.166666667,2.5,1
2021-08-17,0.1875,3,1
2021-08-23,0.217391304,2,1
2021-08-31,3.708333333,17,1
2021-09-07,1.104166667,4,1
2021-09-29,0.229166667,1.5,1
2021-10-10,0.375,4,1
2022-06-23,3.791666667,22,1
2022-06-29,1.770833333,9,1
2022-06-30,8.875,32,1
2022-07-13,5.875,23.5,1
2022-07-23,0.583333333,8.5,1
2022-07-31,1.75,13,1
2022-08-02,0.354166667,3,1
2022-08-19,2.041666667,23,1
2022-08-30,1.854166667,4,1
2022-09-04,0.75,5.5,1
2022-09-16,0.708333333,10,1
2022-10-03,2.104166667,9.5,1
2022-10-09,0.666666667,2.5,1
2023-05-06,2.229166667,8,1
2023-05-27,1.0625,5,1
2023-05-28,1.791666667,6.5,1
2023-06-29,2.125,18,1
2023-07-04,2.041666667,17.5,1
2023-07-11,4.375,39,1
