일시,강수량(mm)
2010-03-31,2
2010-04-01,1
2010-04-21,1.5
2010-04-27,1.5
2010-04-28,3
2010-05-18,7.5
2010-06-12,9.5
2010-07-02,21
2010-07-07,4.5
2010-07-13,4
2010-07-16,13
2010-07-17,34
2010-08-10,35
2010-08-12,2.5
2010-08-14,10.5
2010-08-27,24
2010-08-29,29
2010-09-21,57.5
2011-04-07,1
2011-04-26,1.5
2011-04-30,16.5
2011-05-20,2.5
2011-06-22,4.5
2011-06-23,6
2011-06-24,2.5
2011-06-25,11.5
2011-06-26,11
2011-06-29,37
2011-06-30,9.5
2011-07-03,26.5
2011-07-07,17.5
2011-07-13,4.5
2011-07-14,12
2011-07-15,12
2011-07-16,18
2011-07-26,42.5
2011-07-27,60.5
2011-07-28,26
2011-07-31,34
2011-08-12,7.5
2011-08-16,18
2011-08-17,6.5
2012-04-10,3
2012-04-21,8
2012-04-22,1
2012-04-25,10.5
2012-06-08,7
2012-07-05,7
2012-07-06,56
2012-07-14,7.5
2012-07-15,10
2012-08-14,3
2012-08-15,47
2012-08-21,23.5
2012-08-28,4
2012-09-13,3.5
2012-09-17,16
2013-04-06,2
2013-04-20,3
2013-04-23,1.5
2013-05-09,1
2013-06-18,11
2013-07-02,12
2013-07-04,26
2013-07-12,16
2013-07-14,6.5
2013-08-31,24.5
2013-09-10,2.5
2013-09-11,15.5
2014-04-17,2
2014-06-11,3.5
2014-07-22,3
2014-07-23,9
2014-07-25,12
2014-08-03,2
2014-08-06,6.5
2014-08-10,19.5
2014-08-14,1.5
2014-08-21,38.5
2014-08-26,21
2014-09-02,1
2014-09-03,12.5
2015-04-02,24
2015-04-14,2.5
2015-04-19,3.5
2015-04-29,1
2015-05-12,3.5
2015-05-19,0.5
2015-06-20,38.5
2015-06-30,1
2015-07-12,4
2015-07-23,8.5
2015-07-24,1.5
2015-07-25,23.5
2015-08-16,12
2015-08-25,1
2015-09-11,1
2016-04-03,1.5
2016-04-16,7
2016-05-03,6
2016-05-15,12
2016-06-15,8.5
2016-06-22,3.5
2016-07-01,25
2016-07-05,49
2016-08-25,3
2016-08-31,3
2017-04-05,6
2017-05-09,1.5
2017-05-23,5.5
2017-07-06,1.5
2017-07-07,6.5
2017-08-15,19.5
2017-08-20,25
2018-04-05,3
2018-05-02,1.5
2018-05-12,4.5
2018-05-17,22.5
2018-05-29,1.5
2018-06-26,15.5
2018-06-28,6.5
2018-07-01,19
2019-04-09,2
2019-04-25,2
2019-05-19,4.5
2019-07-10,4.5
2019-07-26,30
2019-07-28,16
2019-08-15,15.5
2019-08-29,33
2019-09-04,4
2019-09-05,20
2019-09-10,12
2020-05-09,4
2020-05-15,2
2020-06-10,3.5
2020-06-24,6.5
2020-07-12,1
2020-07-13,4
2020-07-22,9.5
2020-07-23,14
2020-07-29,17.5
2020-08-02,21
2020-08-03,21
2020-08-09,25.5
2020-08-10,5
2020-08-22,45
2020-09-02,17
2021-04-03,7.5
2021-05-16,6.5
2021-06-03,5
2021-06-30,7
2021-07-03,13.5
2021-08-12,2.5
2021-08-17,3
2021-08-23,2
2021-08-31,17
2021-09-07,4
2021-09-29,1.5
2021-10-10,4
2022-06-23,22
2022-06-29,9
2022-06-30,32
2022-07-13,23.5
2022-07-23,8.5
2022-07-31,13
2022-08-02,3
2022-08-19,23
2022-08-30,4
2022-09-04,5.5
2022-09-16,10
2022-10-03,9.5
2022-10-09,2.5
2023-05-06,8
2023-05-27,5
2023-05-28,6.5
2023-06-29,18
2023-07-04,17.5
2023-07-11,39
