일시,강수량(mm)
2010-03-31,0.479166667
2010-04-01,0.0416666667
2010-04-21,0.104166667
2010-04-27,0.1875
2010-04-28,0.395833333
2010-05-18,2.083333333
2010-06-12,2.708333333
2010-07-02,2.291666667
2010-07-07,0.395833333
2010-07-13,0.3125
2010-07-16,3.3125
2010-07-17,3.625
2010-08-10,2.645833333
2010-08-12,0.166666667
2010-08-14,0.916666667
2010-08-27,1.083333333
2010-08-29,3.875
2010-09-21,11.52083333
2011-04-07,0.333333333
2011-04-26,0.125
2011-04-30,3.291666667
2011-05-20,0.4375
2011-06-22,0.375
2011-06-23,1.333333333
2011-06-24,0.6875
2011-06-25,1.791666667
2011-06-26,1.5
2011-06-29,8.625
2011-06-30,1.541666667
2011-07-03,5.083333333
2011-07-07,2.625
2011-07-13,0.625
2011-07-14,1.916666667
2011-07-15,1.083333333
2011-07-16,1.520833333
2011-07-26,4.854166667
2011-07-27,22.58333333
2011-07-28,3.391304348
2011-07-31,2.458333333
2011-08-12,1
2011-08-16,1.25
2011-08-17,0.729166667
2012-04-10,0.3125
2012-04-21,1.791666667
2012-04-22,0.291666667
2012-04-25,1.3125
2012-06-08,0.333333333
2012-07-05,1.333333333
2012-07-06,6.854166667
2012-07-14,0.729166667
2012-07-15,2.020833333
2012-08-14,0.229166667
2012-08-15,6.875
2012-08-21,5.5625
2012-08-28,0.375
2012-09-13,0.395833333
2012-09-17,4.104166667
2013-04-06,0.625
2013-04-20,0.375
2013-04-23,0.25
2013-05-09,0.0416666667
2013-06-18,1.25
2013-07-02,1.5
2013-07-04,1.375
2013-07-12,1.458333333
2013-07-14,0.875
2013-08-31,1.125
2013-09-10,0.395833333
2013-09-11,2.083333333
2014-04-17,0.166666667
2014-06-11,0.25
2014-07-22,0.1875
2014-07-23,1.479166667
2014-07-25,1.291666667
2014-08-03,0.458333333
2014-08-06,0.583333333
2014-08-10,1.270833333
2014-08-14,0.104166667
2014-08-21,4.125
2014-08-26,0.979166667
2014-09-02,0.104166667
2014-09-03,2.458333333
2015-04-02,1.354166667
2015-04-14,0.416666667
2015-04-19,0.4375
2015-04-29,0.166666667
2015-05-12,0.458333333
2015-05-19,0.0208333333
2015-06-20,3.0625
2015-06-30,0.0833333333
2015-07-12,0.916666667
2015-07-23,0.652173913
2015-07-24,0.538461538
2015-07-25,1.645833333
2015-08-16,1.270833333
2015-08-25,0.25
2015-09-11,0.125
2016-04-03,0.125
2016-04-16,0.9375
2016-05-03,1.791666667
2016-05-15,1.520833333
2016-06-15,1.083333333
2016-06-22,0.416666667
2016-07-01,3.854166667
2016-07-05,4.958333333
2016-08-25,0.125
2016-08-31,0.854166667
2017-04-05,1.125
2017-05-09,0.0833333333
2017-05-23,0.229166667
2017-07-06,0.104166667
2017-07-07,0.541666667
2017-08-15,3.145833333
2017-08-20,4.229166667
2018-04-05,0.583333333
2018-05-02,0.229166667
2018-05-12,1.354166667
2018-05-17,3.666666667
2018-05-29,0.104166667
2018-06-26,3.083333333
2018-06-28,0.479166667
2018-07-01,3.5625
2019-04-09,0.395833333
2019-04-25,0.4375
2019-05-19,0.6875
2019-07-10,0.520833333
2019-07-26,3.875
2019-07-28,1.270833333
2019-08-15,1.458333333
2019-08-29,2.479166667
2019-09-04,0.583333333
2019-09-05,2.020833333
2019-09-10,2.25
2020-05-09,1.0625
2020-05-15,0.395833333
2020-06-10,0.354166667
2020-06-24,1
2020-07-12,0.125
2020-07-13,1.708333333
2020-07-22,0.833333333
2020-07-23,3.5
2020-07-29,2.25
2020-08-02,1.979166667
2020-08-03,2.916666667
2020-08-09,3.5
2020-08-10,0.583333333
2020-08-22,3.166666667
2020-09-02,1.4375
2021-04-03,2.1875
2021-05-16,1.979166667
2021-06-03,0.895833333
2021-06-30,0.354166667
2021-07-03,2.354166667
2021-08-12,0.166666667
2021-08-17,0.1875
2021-08-23,0.217391304
2021-08-31,3.708333333
2021-09-07,1.104166667
2021-09-29,0.229166667
2021-10-10,0.375
2022-06-23,3.791666667
2022-06-29,1.770833333
2022-06-30,8.875
2022-07-13,5.875
2022-07-23,0.583333333
2022-07-31,1.75
2022-08-02,0.354166667
2022-08-19,2.041666667
2022-08-30,1.854166667
2022-09-04,0.75
2022-09-16,0.708333333
2022-10-03,2.104166667
2022-10-09,0.666666667
2023-05-06,2.229166667
2023-05-27,1.0625
2023-05-28,1.791666667
2023-06-29,2.125
2023-07-04,2.041666667
2023-07-11,4.375
