일시,평균강수량(mm),최대강수량(mm),경기 취소 여부
2013-04-02,0.25,1.5,0
2013-04-14,0.145833333,3,0
2013-04-24,0.0208333333,0.5,0
2013-04-25,0.166666667,2,0
2013-05-02,0.0416666667,0.5,0
2013-05-03,0.0208333333,0.5,0
2013-05-10,0.895833333,3.5,0
2013-05-12,0.0208333333,0.5,0
2013-05-18,0.333333333,3.5,0
2013-05-19,1.145833333,5,0
2013-05-28,0.4375,2.5,0
2013-05-29,0.0625,1,0
2013-06-11,0.0625,0.5,0
2013-06-12,0.270833333,1.5,0
2013-06-21,0.166666667,4,0
2013-06-28,0.0416666667,1,0
2013-07-05,0.104166667,1,0
2013-07-07,0.0416666667,1,0
2013-07-09,0.1875,2,0
2013-07-10,0.208333333,2,0
2013-07-11,0.979166667,12.5,0
2013-07-13,6.1875,26.5,0
2013-07-17,1.166666667,8,0
2013-07-23,2.208333333,25,0
2013-07-24,0.333333333,3,0
2013-07-28,0.416666667,7,0
2013-08-03,0.0625,1,0
2013-08-06,1.1875,23.5,0
2013-08-09,0.0208333333,0.5,0
2013-08-10,1.5,16.5,0
2013-08-16,0.0208333333,0.5,0
2013-09-12,0.0208333333,0.5,0
2013-09-13,4.0625,26,0
2013-09-14,0.6875,7,0
2013-09-28,0.0833333333,1,0
2013-09-29,0.604166667,2,0
2014-03-30,0.0833333333,1.5,0
2014-04-03,0.0416666667,0.5,0
2014-04-27,0.25,1.5,0
2014-04-29,0.166666667,2,0
2014-05-07,0.0208333333,0.5,0
2014-05-08,0.166666667,1,0
2014-05-11,0.729166667,6.5,0
2014-05-25,0.291666667,4,0
2014-06-10,0.166666667,3,0
2014-06-12,0.0416666667,0.5,0
2014-06-20,0.0625,1.5,0
2014-06-21,4.145833333,39,0
2014-06-22,3.104166667,53,0
2014-06-28,0.0416666667,1,0
2014-07-02,0.375,8,0
2014-07-03,0.0416666667,0.5,0
2014-07-08,0.0208333333,0.5,0
2014-07-09,0.0208333333,0.5,0
2014-07-24,2.083333333,12,0
2014-07-26,0.0833333333,1,0
2014-08-04,0.208333333,1,0
2014-08-07,0.0208333333,0.5,0
2014-08-17,0.166666667,2.5,0
2014-08-22,0.1875,3,0
2014-08-29,0.3125,7,0
2014-09-12,0.0208333333,0.5,0
2014-10-16,0.0833333333,1.5,0
2015-03-31,0.104166667,1.5,0
2015-04-01,0.0625,1,0
2015-04-03,0.5,6.5,0
2015-04-05,0.0416666667,0.5,0
2015-04-15,0.0833333333,1,0
2015-04-16,0.1875,2.5,0
2015-05-02,0.0208333333,0.5,0
2015-05-03,0.166666667,1.5,0
2015-06-12,0.0416666667,1,0
2015-06-13,0.0208333333,0.5,0
2015-06-14,0.645833333,11.5,0
2015-06-17,0.25,6,0
2015-06-18,0.645833333,14,0
2015-06-25,0.0625,1,0
2015-06-26,0.791666667,5.5,0
2015-07-08,0.0208333333,0.5,0
2015-07-21,0.270833333,6.5,0
2015-07-26,0.770833333,11,0
2015-07-29,0.729166667,14.5,0
2015-08-02,1.083333333,13,0
2015-08-07,0.708333333,14.5,0
2015-08-08,0.666666667,14.5,0
2015-08-13,0.625,9,0
2015-08-14,0.0208333333,0.5,0
2015-08-15,0.0208333333,0.5,0
2015-08-20,0.291666667,6.5,0
2015-08-21,0.0208333333,0.5,0
2015-08-28,0.604166667,12.5,0
2015-09-02,0.1875,3,0
2015-09-05,0.270833333,3,0
2015-10-01,1.229166667,12.5,0
2016-04-06,0.0625,1.5,0
2016-04-07,0.354166667,2,0
2016-04-13,0.0625,0.5,0
2016-04-17,0.833333333,5,0
2016-04-21,0.708333333,3,0
2016-05-06,0.291666667,4,0
2016-05-10,0.583333333,2.5,0
2016-05-24,1.270833333,4.5,0
2016-06-11,0.270833333,6.5,0
2016-06-12,0.375,7,0
2016-06-24,0.145833333,0.5,0
2016-06-30,0.0416666667,0.5,0
2016-07-02,0.208333333,2,0
2016-07-06,0.0625,1,0
2016-07-07,0.0208333333,0.5,0
2016-07-12,0.354166667,7.5,0
2016-07-28,0.1875,4.5,0
2016-07-29,1.020833333,17,0
2016-07-30,0.0208333333,0.5,0
2016-08-09,0.0416666667,1,0
2016-08-14,0.0416666667,0.5,0
2016-08-21,0.104166667,2.5,0
2016-08-23,0.0416666667,1,0
2016-08-26,0.916666667,7,0
2016-08-28,0.1875,4,0
2016-09-02,0.0833333333,2,0
2016-09-03,0.0416666667,0.5,0
2016-09-08,0.0625,1.5,0
2016-09-17,0.458333333,5,0
2016-10-03,0.4375,6.5,0
2016-10-08,0.270833333,2,0
2017-03-31,0.208333333,2.5,0
2017-04-01,0.0208333333,0.5,0
2017-04-06,0.458333333,7,0
2017-04-09,0.0416666667,0.5,0
2017-04-14,0.1875,3.5,0
2017-04-18,0.3125,3,0
2017-05-10,0.208333333,2,0
2017-05-13,0.291666667,4.5,0
2017-06-01,0.25,5,0
2017-06-06,0.291666667,2.5,0
2017-06-07,0.5,3,0
2017-06-10,0.1875,2,0
2017-06-24,0.0208333333,0.5,0
2017-06-25,0.479166667,10.5,0
2017-06-27,0.0208333333,0.5,0
2017-07-01,0.0625,1.5,0
2017-07-02,3.333333333,26.5,0
2017-07-04,0.375,3.5,0
2017-07-08,0.291666667,3,0
2017-07-09,0.604166667,3,0
2017-07-11,0.166666667,3,0
2017-07-18,0.0625,1,0
2017-07-22,0.0208333333,0.5,0
2017-07-23,4.166666667,31,0
2017-07-28,0.541666667,5,0
2017-08-01,0.0625,1,0
2017-08-09,0.0208333333,0.5,0
2017-08-10,0.395833333,1.5,0
2017-08-11,0.0625,1.5,0
2017-08-16,0.416666667,7,0
2017-08-17,0.25,2.5,0
2017-08-18,0.145833333,3.5,0
2017-08-23,1.916666667,32.5,0
2017-08-24,0.0208333333,0.5,0
2017-09-06,0.0625,1,0
2017-09-19,0.208333333,5,0
2017-10-01,0.25,3,0
2018-04-04,0.770833333,8,0
2018-04-08,0.145833333,2,0
2018-04-10,0.145833333,3,0
2018-04-14,0.520833333,3.5,0
2018-04-22,0.291666667,2.5,0
2018-04-24,0.0625,0.5,0
2018-05-03,0.791666667,15.5,0
2018-05-06,0.958333333,3.5,0
2018-05-13,0.0416666667,1,0
2018-05-16,1.270833333,25.5,0
2018-05-18,0.270833333,2,0
2018-05-22,0.375,2,0
2018-05-23,0.416666667,3.5,0
2018-06-09,0.0208333333,0.5,0
2018-06-10,0.0208333333,0.5,0
2018-06-12,0.104166667,2,0
2018-06-14,0.0625,1,0
2018-06-15,0.0833333333,1.5,0
2018-06-29,0.0833333333,1,0
2018-06-30,0.125,2,0
2018-07-03,0.0208333333,0.5,0
2018-07-05,0.125,2.5,0
2018-07-10,0.5,6.5,0
2018-07-11,0.0833333333,0.5,0
2018-07-28,0.270833333,6,0
2018-08-05,0.0625,1,0
2018-08-09,0.604166667,11,0
2018-09-07,0.125,3,0
2018-09-16,0.0416666667,0.5,0
2018-09-20,0.229166667,2,0
2018-09-21,0.75,4,0
2018-09-22,0.458333333,11,0
2018-10-06,3.041666667,11.5,0
2018-10-10,0.1875,4.5,0
2019-03-23,0.104166667,2,0
2019-03-30,0.0833333333,1,0
2019-04-10,0.208333333,2,0
2019-04-14,0.0625,0.5,0
2019-04-21,0.0208333333,0.5,0
2019-04-24,0.291666667,2,0
2019-04-26,0.125,0.5,0
2019-06-06,0.229166667,1.5,0
2019-06-07,1.5625,10.5,0
2019-06-15,0.104166667,2.5,0
2019-06-18,0.3125,3,0
2019-06-19,0.0208333333,0.5,0
2019-06-29,0.0833333333,1,0
2019-07-11,0.166666667,1.5,0
2019-07-18,0.0625,1.5,0
2019-07-27,2.25,30.5,0
2019-07-29,0.0416666667,1,0
2019-07-31,2.708333333,23,0
2019-08-01,2,16,0
2019-08-07,0.520833333,3.5,0
2019-08-09,0.3125,7.5,0
2019-08-11,0.0416666667,1,0
2019-08-17,0.0208333333,0.5,0
2019-08-21,0.0416666667,0.5,0
2019-08-27,0.104166667,2,0
2019-09-06,0.0416666667,0.5,0
2019-09-11,0.395833333,2.5,0
2019-09-12,0.0416666667,0.5,0
2019-09-13,0.0208333333,0.5,0
2019-09-14,0.0208333333,0.5,0
2019-09-22,0.125,1,0
2020-05-08,0.0625,1,0
2020-05-12,0.125,2,0
2020-05-16,0.0208333333,0.5,0
2020-05-19,0.3125,2.5,0
2020-05-24,0.520833333,9.5,0
2020-06-02,0.0625,1,0
2020-06-11,0.0208333333,0.5,0
2020-06-14,0.0416666667,1,0
2020-06-25,0.3125,2,0
2020-06-26,0.0416666667,0.5,0
2020-06-30,1.916666667,10.5,0
2020-07-04,0.0833333333,1,0
2020-07-14,0.875,7,0
2020-07-19,1.6875,28.5,0
2020-07-20,0.25,6,0
2020-07-24,0.0416666667,0.5,0
2020-07-30,0.0416666667,1,0
2020-08-01,1.270833333,13,0
2020-08-04,1.5625,25,0
2020-08-05,1.541666667,33.5,0
2020-08-06,4.229166667,23.5,0
2020-08-08,0.8125,5,0
2020-08-11,4.604166667,23.5,0
2020-08-15,2.875,34.5,0
2020-08-21,0.291666667,6.5,0
2020-08-27,0.416666667,5.5,0
2020-08-28,0.375,2.5,0
